Index,Index Membership,Regions,Sub-Regions,Country,Company Name,Refinitiv,FIT Industry,Primary Business Tag,Business Tags,Business Overview,NACE Industry,ESI Survey Component,CUSIP,ISIN,SEDOL,FIGI,CIK,Ticker,MIC Code,Exchange,Market Currency
11,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Vinci Sa,Insurance,Insurance,insurance,insurance;asset_management;banking,"Provides insurance, investment and related financial services, with additional activities or exposure across asset management and banking.",Construction,BUIL,,FR0000125486,B1XH026,,,DG,XPAR,Euronext Paris,EUR
12,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Dassault Systemes,Construction & Engineering,Construction & Engineering,infrastructure,infrastructure;engineering_services;transportation_infrastructure,"Designs, constructs, operates and maintains transport, energy and telecommunications infrastructure.",Information and communication,SERV,,FR0014003TT8,BM8H5Y5,,,DSY,XPAR,Euronext Paris,EUR
13,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Edenred,Software & IT Services,Software & Digital Services,engineering_software,engineering_software;product_lifecycle_management;simulation,"Develops engineering, simulation and product lifecycle management software platforms.","Professional, scientific and technical activities",SERV,,FR0010908533,B62G1B5,,,EDEN,XPAR,Euronext Paris,EUR
14,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Essilorluxottica Sa,Professional & Commercial Services,Professional Services,corporate_payments,corporate_payments;employee_benefits;expense_management,"Develops employee-benefit, corporate-payment and expense-management solutions.",Manufacturing,INDU,S72124779,FR0000121667,7212477,,,EL,XPAR,Euronext Paris,EUR
15,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Bouygues Sa,Healthcare Equipment & Supplies,Medical Devices,vision_care,vision_care;medical_devices;eyewear,"Designs, manufactures and markets ophthalmic lenses, eyewear and vision-care technologies.",Construction,BUIL,S40021214,FR0000120503,4002121,,,EN,XPAR,Euronext Paris,EUR
16,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Engie Sa,Construction & Engineering,Construction & Engineering,engineering_services,engineering_services;telecommunications;real_estate_development,"Provides construction, infrastructure and telecommunications services, with additional activities or exposure across real-estate development.","Electricity, gas, steam and air conditioning supply",SERV,,FR0010208488,B0C2CQ3,,,ENGI,XPAR,Euronext Paris,EUR
17,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Eurofins Scientific,Multiline Utilities,Utilities,utilities,utilities;renewable_energy;natural_gas;energy_services,"Generates, supplies and distributes electricity and gas, with additional activities or exposure across renewable energy and energy services.",Manufacturing,INDU,,FR0014000MR3,BNDPYV1,,,ERF,XPAR,Euronext Paris,EUR
18,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Societe Generale Sa,Biotechnology & Medical Research,Biotechnology,laboratory_services,laboratory_services;diagnostics;analytical_testing,"Provides laboratory testing and analytical services across pharmaceutical, food, environmental and consumer markets.",Financial and insurance activities,SERV,S59665166,FR0000130809,5966516,,,GLE,XPAR,Euronext Paris,EUR
19,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Thales Sa,Banking Services,Banking,banking,banking;investment_banking;asset_management;insurance,"Provides retail, commercial and investment banking services, with additional activities or exposure across insurance and asset management.",Manufacturing,INDU,S41627910,FR0000121329,4162791,,,HO,XPAR,Euronext Paris,EUR
20,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Kering Sa,Aerospace & Defense,Aerospace & Defense,aerospace_defense,aerospace_defense;cybersecurity;digital_identity,"Develops aerospace, defence, cybersecurity and digital-identity technologies.",Wholesale and retail trade; repair of motor vehicles and motorcycles,SERV,S55050728,FR0000121485,5505072,,,KER,XPAR,Euronext Paris,EUR
21,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Legrand Sa,Specialty Retailers,Retail,luxury_goods,luxury_goods;fashion;beauty,"Designs, manufactures and markets luxury fashion, leather goods, jewellery, eyewear and beauty products.",Manufacturing,INDU,,FR0010307819,B11ZRK9,,,LR,XPAR,Euronext Paris,EUR
22,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Lvmh,"Machinery, Equipment & Components",Machinery,electrical_equipment,electrical_equipment;building_infrastructure;data_centres,Designs and supplies electrical and digital building infrastructure products and systems.,Manufacturing,INDU,S40614125,FR0000121014,4061412,,,MC,XPAR,Euronext Paris,EUR
23,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Compagnie Generale Des Etablisseme,Textiles & Apparel,Textiles & Apparel,luxury_goods,luxury_goods;fashion;beauty;wines_spirits,"Designs, manufactures and markets luxury fashion, jewellery, beauty products, wines and spirits.",Manufacturing,INDU,,FR001400AJ45,BPBPJ01,,,ML,XPAR,Euronext Paris,EUR
24,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Arcelormittal,Automobiles & Auto Parts,Automotive,automotive,automotive;tyres;advanced_materials,"Develops tyres, mobility solutions and advanced materials for automotive and industrial markets.",Mining and quarrying,INDU,,,,,,MT,XPAR,Euronext Paris,EUR
25,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Loreal Sa,Metals & Mining,Mining,mining,mining;steel;iron_ore,"Produces steel and related metal products, with additional activities or exposure across iron-ore mining.",Manufacturing,INDU,S40578080,FR0000120321,4057808,,,OR,XPAR,Euronext Paris,EUR
26,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Orange Sa,Personal & Household Products & Services,Household Products,beauty_products,beauty_products;personal_care;cosmetics,"Develops, manufactures and markets cosmetics, skincare, haircare and beauty products.",Information and communication,SERV,S51761773,FR0000133308,5176177,,,ORA,XPAR,Euronext Paris,EUR
27,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Publicis Groupe Sa,Telecommunications Services,Telecommunications,telecommunications,telecommunications;broadband;digital_services,"Provides mobile, broadband, enterprise and digital communications services.",Information and communication,SERV,S43804293,FR0000130577,4380429,,,PUB,XPAR,Euronext Paris,EUR
28,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Pernod Ricard Sa,Media & Publishing,Media,advertising,advertising;marketing;digital_transformation,"Provides advertising, media, marketing and digital transformation services.",Manufacturing,INDU,S46823290,FR0000120693,4682329,,,RI,XPAR,Euronext Paris,EUR
29,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Hermes International,Beverages,Food & Beverage,beverages,beverages;spirits;wine,"Produces and markets wines, spirits and related premium beverage brands.",Manufacturing,INDU,S52539731,FR0000052292,5253973,,,RMS,XPAR,Euronext Paris,EUR
30,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Renault Sa,Textiles & Apparel,Textiles & Apparel,luxury_goods,luxury_goods;fashion;jewellery,"Designs, manufactures and markets luxury leather goods, apparel, jewellery and accessories.",Manufacturing,INDU,S47127980,FR0000131906,4712798,,,RNO,XPAR,Euronext Paris,EUR
31,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Safran Sa,Automobiles & Auto Parts,Automotive,automotive,automotive;electric_vehicles;vehicle_finance,"Designs, manufactures and markets passenger and commercial vehicles, with additional activities or exposure across mobility and vehicle finance.",Manufacturing,INDU,,FR0000073272,B058TZ6,,,SAF,XPAR,Euronext Paris,EUR
32,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Sanofi Sa,Aerospace & Defense,Aerospace & Defense,aerospace_defense,aerospace_defense;aerospace_propulsion;aircraft_systems,"Develops aerospace propulsion, aircraft equipment and defence technologies.",Manufacturing,INDU,S56717358,FR0000120578,5671735,,,SAN,XPAR,Euronext Paris,EUR
33,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Compagnie De Saint Gobain Sa,Banking Services,Banking,banking,banking;investment_banking;wealth_management;digital_payments,"Provides retail, commercial and investment banking services, with additional activities or exposure across wealth management, insurance and digital payments.",Construction,BUIL,S73804825,FR0000125007,7380482,,,SGO,XPAR,Euronext Paris,EUR
34,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Stellantis,Pharmaceuticals,Pharmaceuticals,pharmaceuticals,pharmaceuticals;vaccines;consumer_health,"Develops, manufactures and markets pharmaceutical products and vaccines, with additional activities or exposure across consumer healthcare.",Manufacturing,INDU,,,,,,STLAP,XPAR,Euronext Paris,EUR
35,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Stmicroelectronics Nv,Homebuilding & Construction Supplies,Residential Construction,construction_materials,construction_materials;glass;high_performance_materials,"Designs, manufactures and distributes construction materials, glass and high-performance industrial products.",Manufacturing,INDU,S59623322,NL0000226223,5962332,,,STMPA,XPAR,Euronext Paris,EUR
36,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Schneider Electric,Automobiles & Auto Parts,Automotive,automotive,automotive;mobility;commercial_vehicles,"Designs, manufactures and markets passenger and commercial vehicles and mobility solutions.",Manufacturing,INDU,S48341085,FR0000121972,4834108,,,SU,XPAR,Euronext Paris,EUR
37,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Teleperformance,Semiconductors & Semiconductor Equipment,Semiconductors,semiconductors,semiconductors;automotive_electronics;iot,"Designs, manufactures and markets semiconductor technologies for automotive, industrial and connected-device markets.","Professional, scientific and technical activities",SERV,S59993303,FR0000051807,5999330,,,TEP,XPAR,Euronext Paris,EUR
38,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Totalenergies,"Machinery, Equipment & Components",Machinery,energy_management,energy_management;industrial_automation;electrical_equipment,"Develops energy-management, industrial automation and electrical-distribution technologies.",Mining and quarrying,INDU,,FR0000120271,B15C557,,,TTE,XPAR,Euronext Paris,EUR
39,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Unibail Rodamco We Stapled Units,Professional & Commercial Services,Professional Services,business_process_outsourcing,business_process_outsourcing;customer_experience;digital_transformation,"Provides customer-experience, business-process outsourcing and digital transformation services.",Real estate activities,SERV,,FR0013326246,BF2PQ09,,,URW,XPAR,Euronext Paris,EUR
40,CAC 40,"Europe, The Middle East and Africa",Western Europe,France,Veolia Environ. Sa,Oil & Gas,Oil & Gas,oil_gas,oil_gas;renewable_energy;electricity_generation;lng,"Explores, produces, refines and markets oil and natural gas, with additional activities or exposure across electricity and renewable energy.","Electricity, gas, steam and air conditioning supply",SERV,S40318792,FR0000124141,4031879,,,VIE,XPAR,Euronext Paris,EUR
41,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Adidas N Ag,Real Estate Investment Trusts (REITs),Real Estate Investment Trusts (REITs),commercial_real_estate,commercial_real_estate;shopping_centres;mixed_use_property,"Owns, develops and manages retail, office and mixed-use real-estate assets.",Manufacturing,INDU,S40319766,DE000A1EWWW0,4031976,,,ADS,XFRA,Deutsche Boerse AG,EUR
42,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Airbus,Multiline Utilities,Utilities,environmental_services,environmental_services;water_utilities;waste_management;energy_services,"Provides water, waste-management and energy services.",Manufacturing,INDU,,,,,,AIR,XPAR,Euronext Paris,EUR
43,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Allianz,Textiles & Apparel,Textiles & Apparel,sportswear,sportswear;footwear;consumer_products,"Designs, manufactures and markets athletic footwear, apparel, sports equipment and related lifestyle products.","Electricity, gas, steam and air conditioning supply",SERV,S52314853,DE0008404005,5231485,,,ALV,XFRA,Deutsche Boerse AG,EUR
44,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Basf N,Insurance,Insurance,insurance,insurance;reinsurance;asset_management,"Provides insurance, reinsurance and investment services, with additional activities or exposure across asset management and banking.",Financial and insurance activities,SERV,S50865773,DE000BASF111,5086577,,,BAS,XWBO,Wiener Boerse,EUR
45,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Bayer Ag,Chemicals,Chemicals,specialty_chemicals,specialty_chemicals;industrial_chemicals;agriculture_inputs,"Develops, manufactures and supplies chemicals, advanced materials and agricultural solutions.",Financial and insurance activities,SERV,S50692110,DE000BAY0017,5069211,,,BAYN,XFRA,Deutsche Boerse AG,EUR
46,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Beiersdorf Ag,Pharmaceuticals,Pharmaceuticals,pharmaceuticals,pharmaceuticals;consumer_health;agriculture_inputs,"Develops pharmaceutical, consumer-health and agricultural products.","Electricity, gas, steam and air conditioning supply",SERV,S51074011,DE0005200000,5107401,,,BEI,XFRA,Deutsche Boerse AG,EUR
47,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Bmw Ag,Personal & Household Products & Services,Household Products,beauty_products,beauty_products;personal_care;consumer_health,"Develops, manufactures and markets skincare, personal-care and adhesive products.",Manufacturing,INDU,D12096109,DE0005190003,5756029,,,BMW,XFRA,Deutsche Boerse AG,EUR
48,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Brenntag,Automobiles & Auto Parts,Automotive,automotive,automotive;motorcycles;vehicle_finance,"Designs, manufactures and markets premium automobiles and motorcycles, with additional activities or exposure across vehicle finance.",Manufacturing,INDU,,DE000A1DAHH0,B4YVF56,,,BNR,XFRA,Deutsche Boerse AG,EUR
49,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Commerzbank Ag,Chemicals,Chemicals,industrial_distribution,industrial_distribution;specialty_chemicals;supply_chain_services,"Distributes industrial chemicals and ingredients, with additional activities or exposure across formulation and supply-chain services.",Manufacturing,INDU,,DE000CBK1001,B90LKT4,,,CBK,XFRA,Deutsche Boerse AG,EUR
50,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Continental Ag,Banking Services,Banking,banking,banking;corporate_banking;capital_markets,"Provides retail, commercial and corporate banking services, with additional activities or exposure across capital markets.",Manufacturing,INDU,S45985892,DE0005439004,4598589,,,CON,XFRA,Deutsche Boerse AG,EUR
51,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Deutsche Boerse Ag,Automobiles & Auto Parts,Automotive,automotive_components,automotive_components;tyres;industrial_materials,"Develops automotive technologies, tyres and industrial materials for mobility markets.",Financial and insurance activities,SERV,S70219639,DE0005810055,7021963,,,DB1,XFRA,Deutsche Boerse AG,EUR
52,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Deutsche Bank Ag,Investment Banking & Investment Services,Investment Services,market_infrastructure,market_infrastructure;capital_markets;exchange_services,"Operates financial-market infrastructure, trading, clearing and securities services.",Financial and insurance activities,SERV,S57503559,DE0005140008,5750355,,,DBK,XFRA,Deutsche Boerse AG,EUR
53,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Deutsche Post Ag,Banking Services,Banking,banking,banking;investment_banking;asset_management,"Provides retail, corporate and investment banking services, with additional activities or exposure across asset management.",Transportation and storage,SERV,S46178596,DE0005552004,4617859,,,DHL,XFRA,Deutsche Boerse AG,EUR
54,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Deutsche Telekom N Ag,Freight & Logistics Services,Logistics,logistics,logistics;freight;express_delivery;supply_chain_services,"Provides logistics, freight forwarding, express delivery and supply-chain services.",Information and communication,SERV,S58423591,DE0005557508,5842359,,,DTE,XFRA,Deutsche Boerse AG,EUR
55,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Daimler Truck Holding E Ag,Telecommunications Services,Telecommunications,telecommunications,telecommunications;broadband;enterprise_connectivity,"Provides telecommunications, broadband, mobile and enterprise-connectivity services.",Manufacturing,INDU,,DE000DTR0CK8,BP6VLQ4,,,DTG,XFRA,Deutsche Boerse AG,EUR
56,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Siemens Energy N Ag,"Machinery, Equipment & Components",Machinery,commercial_vehicles,commercial_vehicles;buses;vehicle_finance,"Designs, manufactures and markets commercial vehicles, buses and related mobility solutions.","Electricity, gas, steam and air conditioning supply",SERV,,DE000ENER6Y0,BMTVQK9,,,ENR,XFRA,Deutsche Boerse AG,EUR
57,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,E.On N,Renewable Energy,Renewable Energy,energy_generation,energy_generation;power_systems;grid_technology,"Develops energy-generation, grid and industrial-energy technologies.","Electricity, gas, steam and air conditioning supply",SERV,S49429046,DE000ENAG999,4942904,,,EOAN,XFRA,Deutsche Boerse AG,EUR
58,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Fresenius Medical Care Ag,Multiline Utilities,Utilities,utilities,utilities;energy_distribution;energy_services,"Distributes electricity and gas, with additional activities or exposure across energy infrastructure and energy services.",Manufacturing,INDU,S51290740,DE0005785802,5129074,,,FME,XFRA,Deutsche Boerse AG,EUR
59,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Fresenius Se And Co Kgaa,Healthcare Providers & Services,Healthcare Providers & Services,dialysis_services,dialysis_services;medical_devices;renal_care,"Provides dialysis services, renal-care products and related healthcare technologies.",Manufacturing,INDU,S43520972,DE0005785604,4352097,,,FRE,XFRA,Deutsche Boerse AG,EUR
60,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Gea Group Ag,Healthcare Providers & Services,Healthcare Providers & Services,healthcare_services,healthcare_services;hospitals;medical_devices,"Provides healthcare services, hospital operations and medical technologies.",Manufacturing,INDU,S45571049,DE0006602006,4557104,,,G1A,XFRA,Deutsche Boerse AG,EUR
61,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Scout24 N,"Machinery, Equipment & Components",Machinery,industrial_processing,industrial_processing;food_processing;industrial_equipment,"Designs and supplies industrial processing equipment for food, beverage and pharmaceutical markets.",Information and communication,SERV,,DE000A12DM80,BYT9340,,,G24,XFRA,Deutsche Boerse AG,EUR
62,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Heidelberg Materials Ag,Software & IT Services,Software & Digital Services,digital_marketplaces,digital_marketplaces;property_technology;real_estate_services,Operates digital property marketplaces and related real-estate services.,Manufacturing,INDU,S51206795,DE0006047004,5120679,,,HEI,XFRA,Deutsche Boerse AG,EUR
63,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Henkel & Kgaa Pref Ag,Construction Materials,Construction Materials,construction_materials,construction_materials;cement;aggregates,"Produces and distributes cement, aggregates, concrete and related construction materials.",Manufacturing,INDU,S50767052,DE0006048432,5076705,,,HEN3,XFRA,Deutsche Boerse AG,EUR
64,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Hannover Rueck,Chemicals,Chemicals,specialty_chemicals,specialty_chemicals;adhesives;consumer_products,"Develops adhesives, specialty chemicals and consumer products.",Financial and insurance activities,SERV,S45118098,DE0008402215,4511809,,,HNR1,XFRA,Deutsche Boerse AG,EUR
65,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Infineon Technologies Ag,Insurance,Insurance,reinsurance,reinsurance;insurance;risk_management,Provides reinsurance and risk-transfer services across global insurance markets.,Manufacturing,INDU,S58895053,DE0006231004,5889505,,,IFX,XFRA,Deutsche Boerse AG,EUR
66,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Mercedes-Benz Group N Ag,Semiconductors & Semiconductor Equipment,Semiconductors,semiconductors,semiconductors;power_semiconductors;automotive_electronics,"Designs, manufactures and markets semiconductor technologies for automotive, industrial and connected-device markets.",Manufacturing,INDU,S55290274,DE0007100000,5529027,,,MBG,XFRA,Deutsche Boerse AG,EUR
67,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Merck,Automobiles & Auto Parts,Automotive,automotive,automotive;luxury_vehicles;vehicle_finance,"Designs, manufactures and markets premium passenger vehicles and vans, with additional activities or exposure across vehicle finance.",Manufacturing,INDU,S47418447,DE0006599905,4741844,,,MRK,XWBO,Wiener Boerse,EUR
68,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Mtu Aero Engines Holding Ag,Pharmaceuticals,Pharmaceuticals,pharmaceuticals,pharmaceuticals;life_sciences;semiconductor_materials,"Develops pharmaceutical, life-science and semiconductor-material technologies.",Manufacturing,INDU,,DE000A0D9PT0,B09DHL9,,,MTX,XETR,Xetra,EUR
69,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Muenchener Rueckversicherungs-Gese,Aerospace & Defense,Aerospace & Defense,aerospace_propulsion,aerospace_propulsion;engine_manufacturing;aircraft_services,"Develops, manufactures and services aerospace propulsion systems and related technologies.",Financial and insurance activities,SERV,S52941218,DE0008430026,5294121,,,MUV2,XFRA,Deutsche Boerse AG,EUR
70,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Porsche Automobil Holding Pref,Insurance,Insurance,reinsurance,reinsurance;insurance;asset_management,"Provides reinsurance, insurance and related risk-management services.",Manufacturing,INDU,S71010698,DE000PAH0038,7101069,,,PAH3,XFRA,Deutsche Boerse AG,EUR
71,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Qiagen Nv,Automobiles & Auto Parts,Automotive,investment_holding,investment_holding;automotive;private_equity,"Owns and manages strategic investments across automotive, mobility and industrial technology businesses.",Manufacturing,INDU,,NL0012169213,BYXS699,,,QIA,XETR,Xetra,EUR
72,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Rheinmetall Ag,Biotechnology & Medical Research,Biotechnology,molecular_diagnostics,molecular_diagnostics;life_sciences;bioinformatics,"Develops molecular diagnostics, life-science technologies and bioinformatics solutions.",Manufacturing,INDU,S53345880,DE0007030009,5334588,,,RHM,XETR,Xetra,EUR
73,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Rwe Ag,Aerospace & Defense,Aerospace & Defense,defense_systems,defense_systems;military_vehicles;weapons_systems,"Develops defence systems, military vehicles, weapons and related technologies.","Electricity, gas, steam and air conditioning supply",SERV,S47689625,DE0007037129,4768962,,,RWE,XFRA,Deutsche Boerse AG,EUR
74,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Sap,Multiline Utilities,Utilities,utilities,utilities;renewable_energy;energy_trading,"Generates electricity and trades energy, with additional activities or exposure across renewable energy and energy storage.",Information and communication,SERV,S48462881,DE0007164600,4846288,,,SAP,XETR,Xetra,EUR
75,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Siemens Healthineers Ag,Software & IT Services,Software & Digital Services,enterprise_software,enterprise_software;cloud_platforms;business_software,"Develops enterprise software, cloud platforms and related business technology solutions.",Manufacturing,INDU,,DE000SHL1006,BD594Y4,,,SHL,XWBO,Wiener Boerse,EUR
76,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Siemens N Ag,Healthcare Equipment & Supplies,Medical Devices,medical_devices,medical_devices;diagnostics;medical_imaging,"Develops medical imaging, diagnostics and healthcare technologies.",Manufacturing,INDU,S57279739,DE0007236101,5727973,,,SIE,XETR,Xetra,EUR
77,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Symrise Ag,"Machinery, Equipment & Components",Machinery,industrial_automation,industrial_automation;energy_management;smart_infrastructure,"Develops industrial automation, electrification, smart infrastructure and mobility technologies.",Manufacturing,INDU,,DE000SYM9999,B1JB4K8,,,SY1,XFRA,Deutsche Boerse AG,EUR
78,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Vonovia Se,Chemicals,Chemicals,specialty_chemicals,specialty_chemicals;flavours;fragrances,"Develops flavours, fragrances, cosmetic ingredients and nutrition solutions.",Real estate activities,SERV,,DE000A1ML7J1,BBJPFY1,,,VNA,XFRA,Deutsche Boerse AG,EUR
79,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Volkswagen Non-Voting Pref Ag,Real Estate Operations,Real Estate,residential_real_estate,residential_real_estate;property_management;property_development,"Owns, develops and manages residential real-estate assets and housing services.",Manufacturing,INDU,S54971684,DE0007664039,5497168,,,VOW3,XFRA,Deutsche Boerse AG,EUR
80,DAX 40,"Europe, The Middle East and Africa",Western Europe,Germany,Zalando,Automobiles & Auto Parts,Automotive,automotive,automotive;commercial_vehicles;vehicle_finance,"Designs, manufactures and markets passenger vehicles, commercial vehicles and related mobility products.",Information and communication,SERV,,DE000ZAL1111,BQV0SV7,,,ZAL,XETR,Xetra,EUR
81,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,A2A SpA,Software & IT Services,Software & Digital Services,digital_marketplaces,digital_marketplaces;ecommerce;fashion_retail,"Operates digital fashion marketplaces, e-commerce platforms and related logistics services.","Electricity, gas, steam and air conditioning supply",SERV,,IT0001233417,,,,A2A,XMIL,Borsa Italiana,EUR
